datetime_local,UVI_all,UVI_clear
2025-12-21 00:00:00+11:00,0.00,0.00
2025-12-21 01:00:00+11:00,0.00,0.00
2025-12-21 02:00:00+11:00,0.00,0.00
2025-12-21 03:00:00+11:00,0.00,0.00
2025-12-21 04:00:00+11:00,0.00,0.00
2025-12-21 05:00:00+11:00,0.20,0.20
2025-12-21 06:00:00+11:00,1.40,1.40
2025-12-21 07:00:00+11:00,3.70,3.70
2025-12-21 08:00:00+11:00,6.60,6.60
2025-12-21 09:00:00+11:00,9.30,9.30
2025-12-21 10:00:00+11:00,11.50,11.50
2025-12-21 11:00:00+11:00,12.80,12.80
2025-12-21 12:00:00+11:00,13.30,13.30
2025-12-21 13:00:00+11:00,12.90,12.90
2025-12-21 14:00:00+11:00,11.50,11.50
2025-12-21 15:00:00+11:00,9.00,9.00
2025-12-21 16:00:00+11:00,6.20,6.20
2025-12-21 17:00:00+11:00,3.60,3.60
2025-12-21 18:00:00+11:00,1.50,1.50
2025-12-21 19:00:00+11:00,0.30,0.30
2025-12-21 20:00:00+11:00,0.00,0.00
2025-12-21 21:00:00+11:00,0.00,0.00
2025-12-21 22:00:00+11:00,0.00,0.00
2025-12-21 23:00:00+11:00,0.00,0.00
