datetime_local,UVI_all,UVI_clear
2025-08-17 00:00:00+02:00,0.0,0.0
2025-08-17 01:00:00+02:00,0.0,0.0
2025-08-17 02:00:00+02:00,0.0,0.0
2025-08-17 03:00:00+02:00,0.0,0.0
2025-08-17 04:00:00+02:00,0.0,0.0
2025-08-17 05:00:00+02:00,0.0,0.0
2025-08-17 06:00:00+02:00,0.0,0.0
2025-08-17 07:00:00+02:00,0.1,0.1
2025-08-17 08:00:00+02:00,0.75,0.75
2025-08-17 09:00:00+02:00,1.9,2.05
2025-08-17 10:00:00+02:00,3.5,3.6
2025-08-17 11:00:00+02:00,5.05,5.15
2025-08-17 12:00:00+02:00,6.35,6.4
2025-08-17 13:00:00+02:00,7.1,7.15
2025-08-17 14:00:00+02:00,7.2,7.3
2025-08-17 15:00:00+02:00,6.8,6.8
2025-08-17 16:00:00+02:00,5.8,5.8
2025-08-17 17:00:00+02:00,4.35,4.35
2025-08-17 18:00:00+02:00,2.75,2.75
2025-08-17 19:00:00+02:00,1.15,1.3
2025-08-17 20:00:00+02:00,0.1,0.3
2025-08-17 21:00:00+02:00,0.0,0.0
2025-08-17 22:00:00+02:00,0.0,0.0
2025-08-17 23:00:00+02:00,0.0,0.0
